match_id,round_id,steamid,name,item
match001,10,76561198870364933,Dr_Risto,Flashbang
match001,10,76561198812311227,anonymeTito,Glock-18
match001,10,76561198812311227,anonymeTito,M4A1
match001,10,76561199643239709,Pimiento Picante,HE Grenade
match001,10,76561198870364933,Dr_Risto,HE Grenade
match001,10,76561199127458988,Valerius,HE Grenade
match001,10,76561198870364933,Dr_Risto,Smoke Grenade
match001,10,76561199127458988,Valerius,Flashbang
match001,10,76561198870364933,Dr_Risto,Molotov
match001,10,76561199127458988,Valerius,AK-47
match001,11,76561198175180459,Kolle257,USP-S
match001,11,76561198988987546,Baron26,Glock-18
match001,11,76561199028151244,KurtKnusper,USP-S
match001,11,76561199127458988,Valerius,USP-S
match001,11,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,11,76561199766385308,Tokugawa,USP-S
match001,11,76561198059502594,TheDidacte,Smoke Grenade
match001,11,76561198988987546,Baron26,AK-47
match001,11,76561199766385308,Tokugawa,M4A1
match001,11,76561198870364933,Dr_Risto,Flashbang
match001,11,76561199643239709,Pimiento Picante,HE Grenade
match001,11,76561199028151244,KurtKnusper,MP7
match001,11,76561199127458988,Valerius,M4A4
match001,11,76561198812311227,anonymeTito,AWP
match001,11,76561199766385308,Tokugawa,XM1014
match001,11,76561198812311227,anonymeTito,Glock-18
match001,11,76561198175180459,Kolle257,M4A1
match001,11,76561199272285495,NedsTrex | FRUKTPEEK!,AWP
match001,11,76561198988987546,Baron26,M4A1
match001,11,76561199766385308,Tokugawa,Smoke Grenade
match001,11,76561199643239709,Pimiento Picante,AK-47
match001,11,76561198059502594,TheDidacte,AK-47
match001,11,76561198059502594,TheDidacte,Flashbang
match001,11,76561198988987546,Baron26,HE Grenade
match001,11,76561198988987546,Baron26,Flashbang
match001,11,76561198870364933,Dr_Risto,AK-47
match001,11,76561199766385308,Tokugawa,R8 Revolver
match001,11,76561198988987546,Baron26,Molotov
match001,11,76561198059502594,TheDidacte,Molotov
match001,11,76561199028151244,KurtKnusper,HE Grenade
match001,11,76561198059502594,TheDidacte,Glock-18
match001,11,76561198059502594,TheDidacte,AWP
match001,11,76561198870364933,Dr_Risto,Smoke Grenade
match001,11,76561198059502594,TheDidacte,HE Grenade
match001,11,76561198988987546,Baron26,M4A4
match001,11,76561198175180459,Kolle257,AK-47
match001,11,76561198175180459,Kolle257,Molotov
match001,11,76561199643239709,Pimiento Picante,Glock-18
match001,12,76561198175180459,Kolle257,USP-S
match001,12,76561198870364933,Dr_Risto,Glock-18
match001,12,76561199028151244,KurtKnusper,USP-S
match001,12,76561199127458988,Valerius,USP-S
match001,12,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,12,76561199766385308,Tokugawa,USP-S
