match_id,round_id,tick,killer_steamid,killer_name,victim_steamid,victim_name,weapon,headshot,x,y,z,assist,assist_player_name
match001,10,58009,76561198059502594,TheDidacte,76561199272285495,NedsTrex | FRUKTPEEK!,AK-47,false,-2353.361,-1195.258,437.346,false,
match001,10,58211,76561198059502594,TheDidacte,76561198175180459,Kolle257,AK-47,false,-2200.096,-1307.092,417.435,false,
match001,10,58885,76561199127458988,Valerius,76561198988987546,Baron26,Negev,true,-1773.130,-908.064,100.031,false,
match001,10,60086,76561199643239709,Pimiento Picante,76561199127458988,Valerius,AK-47,true,-2161.861,-1325.904,391.945,false,
match001,10,60838,76561198812311227,anonymeTito,76561199028151244,KurtKnusper,M4A1,false,-2326.162,799.613,476.031,false,
match001,11,64127,76561198059502594,TheDidacte,76561199272285495,NedsTrex | FRUKTPEEK!,AK-47,false,-3032.814,-1406.376,555.906,true,Baron26
match001,11,64235,76561198059502594,TheDidacte,76561199127458988,Valerius,AK-47,true,-2412.820,-1118.433,437.677,false,
match001,11,64308,76561198988987546,Baron26,76561199766385308,Tokugawa,M4A1,true,-2735.517,-1704.364,476.159,false,
match001,11,65933,76561198870364933,Dr_Risto,76561199028151244,KurtKnusper,AK-47,false,-2092.798,1225.001,360.031,true,Pimiento Picante
match001,11,66961,76561198175180459,Kolle257,76561198870364933,Dr_Risto,M4A1,false,-1000.207,-180.656,103.531,true,NedsTrex | FRUKTPEEK!
match001,12,71925,76561199643239709,Pimiento Picante,76561199766385308,Tokugawa,AK-47,false,-2514.274,-1188.980,438.731,false,
match001,12,73106,76561199127458988,Valerius,76561198059502594,TheDidacte,AWP,true,-3173.246,283.881,486.616,false,
match001,12,73210,76561199028151244,KurtKnusper,76561199643239709,Pimiento Picante,MP7,false,-2098.051,-1209.607,436.031,false,
match001,12,73703,76561198988987546,Baron26,76561199028151244,KurtKnusper,M4A4,true,-1930.215,-1281.876,244.031,true,Pimiento Picante
match001,12,73970,76561198988987546,Baron26,76561198175180459,Kolle257,M4A4,true,-2700.156,-1562.088,442.204,true,Tokugawa
match001,12,74248,76561199127458988,Valerius,76561198988987546,Baron26,AWP,false,-2247.368,-402.458,390.201,true,Kolle257
match001,12,74266,76561198812311227,anonymeTito,76561199127458988,Valerius,AWP,false,-2870.976,949.906,476.531,false,
match001,12,74626,76561198812311227,anonymeTito,76561199272285495,NedsTrex | FRUKTPEEK!,AWP,true,-2199.000,740.000,476.031,false,
match001,13,77776,76561199127458988,Valerius,76561198059502594,TheDidacte,Tec-9,true,-614.577,42.412,13.761,false,
match001,13,77865,76561198870364933,Dr_Risto,76561199127458988,Valerius,USP-S,false,-434.365,-191.036,19.326,true,Pimiento Picante
match001,13,78001,76561199766385308,Tokugawa,76561198870364933,Dr_Risto,Glock-18,true,-425.916,14.113,16.692,true,Valerius
match001,13,78489,76561199643239709,Pimiento Picante,76561198175180459,Kolle257,USP-S,true,-1310.976,-255.184,107.911,false,
match001,13,78973,76561199272285495,NedsTrex | FRUKTPEEK!,76561199643239709,Pimiento Picante,Glock-18,false,-1288.031,-137.943,26.156,true,Tokugawa
match001,13,79066,76561198988987546,Baron26,76561199766385308,Tokugawa,USP-S,true,-1135.773,-39.272,103.531,false,
match001,13,79577,76561198988987546,Baron26,76561199028151244,KurtKnusper,USP-S,false,-1163.866,51.051,103.531,false,
match001,13,81734,76561199272285495,NedsTrex | FRUKTPEEK!,76561198812311227,anonymeTito,Glock-18,false,-935.154,-373.876,100.031,false,
match001,13,81747,76561198988987546,Baron26,76561199272285495,NedsTrex | FRUKTPEEK!,USP-S,false,-1905.916,29.967,132.031,true,Pimiento Picante
match001,14,84662,76561199643239709,Pimiento Picante,76561199028151244,KurtKnusper,M4A1,false,-1005.801,-622.065,100.031,false,
match001,14,84731,76561198175180459,Kolle257,76561199643239709,Pimiento Picante,Nova,false,-909.230,-447.689,100.031,true,KurtKnusper
match001,14,84759,76561198059502594,TheDidacte,76561199127458988,Valerius,M4A1,false,-307.407,-76.572,30.900,false,
match001,14,85229,76561198175180459,Kolle257,76561198870364933,Dr_Risto,M4A1,false,-1892.606,-1054.309,165.577,false,
match001,14,85331,76561198175180459,Kolle257,76561198812311227,anonymeTito,M4A1,false,-1725.718,-907.445,100.031,false,
match001,14,85470,76561198059502594,TheDidacte,76561199766385308,Tokugawa,M4A1,false,-1569.821,-798.519,151.344,true,NedsTrex | FRUKTPEEK!
match001,14,85566,76561198059502594,TheDidacte,76561199272285495,NedsTrex | FRUKTPEEK!,M4A1,false,-1658.567,-820.692,100.031,true,Tokugawa
match001,14,86479,76561198059502594,TheDidacte,76561198175180459,Kolle257,M4A1,false,-1545.210,-550.387,21.647,false,
